,price
26649,789
33671,1080
32514,1020
43609,2215
18177,8342
44121,2290
20913,10757
27792,828
35945,505
21191,11082
14274,6260
8797,590
46553,2657
17245,7677
40180,1772
33153,1055
6099,4103
11012,5163
22207,648
21131,11037
41345,1882
39769,1726
22487,658
27907,830
4668,3770
25277,743
9718,593
19389,9248
15065,6565
38950,1654
42616,2057
38336,1600
33177,1056
42083,1977
39249,1675
11374,5252
38052,1571
37551,1436
31147,959
17137,7629
34390,1125
35272,500
40042,526
4901,3822
36723,1353
6653,4221
36006,1268
22099,645
34736,1155
42094,1979
16770,7424
3064,408
28456,854
27144,803
39312,1684
19648,9494
36894,1368
24150,707
20877,630
31026,956
27725,827
8799,590
30784,945
32214,1009
32548,1021
44721,2364
15254,6653
17452,7817
11676,5338
28476,854
22159,646
26055,768
14070,607
30170,918
28851,868
9590,4816
44753,2368
9977,4912
2725,3307
14872,6494
21863,635
36140,1286
8603,4611
36609,1337
38576,1619
17027,7563
26526,787
17240,7677
38579,1621
23078,434
26458,781
4121,3642
44136,2293
39303,1683
33863,1094
5539,3988
6733,4234
36436,1319
12937,5743
29752,900
23106,677
6636,4214
9218,4730
18436,625
14419,6300
26433,780
13928,6114
10431,5014
24175,708
11507,5292
28612,857
32154,1007
12731,5669
28346,849
36792,1359
30037,911
39750,526
981,2909
17904,8115
40999,530
940,2906
21753,633
46687,2686
26314,776
11376,5252
24657,723
43387,2180
19379,9240
37527,1436
17375,7762
29131,878
18972,8922
46653,2679
12729,5668
33787,1087
28605,468
27108,803
38587,1621
20954,10802
26559,788
4084,3630
31112,958
4713,3780
41163,1862
13850,6087
36033,1270
24733,726
22162,646
6750,4235
10737,5088
3916,3595
38354,1601
8022,4485
28952,872
43434,540
17003,7550
4577,574
29700,900
18023,8228
19184,9074
7625,4410
45993,2562
19245,9138
40678,529
7675,4420
18274,8430
17786,622
31787,988
11867,5405
2246,3195
10102,4937
25950,766
16952,7520
43111,2137
9377,4766
9663,4836
10903,5141
35158,1197
30830,945
13703,6037
21703,11708
2830,3326
14730,6429
1570,561
301,2803
46695,2686
29232,373
6135,4116
20891,10730
20382,10193
18024,8231
9523,4797
27016,802
8545,4593
12662,5646
34119,1109
18140,8301
38076,1574
11311,5235
29736,900
17094,7597
41141,1857
33334,1063
38725,1631
36277,1295
2390,3230
1103,2939
5241,3911
18492,8580
24862,731
22023,645
42723,2074
5212,3900
5855,4059
1823,3103
21226,11119
27885,829
10116,4939
38480,522
25273,743
18256,8415
13544,5958
14519,6346
21515,11430
24918,732
2825,3325
15778,6875
42738,2075
16253,613
20033,9843
41946,536
9194,4723
19625,9471
2410,3235
46157,2592
23310,684
27185,805
12465,5586
44514,2339
33586,1077
40778,1822
17049,7577
29280,472
33709,1082
12510,5600
36429,1318
28501,854
27402,814
2680,3297
3620,3514
15070,6566
46127,2586
41857,1949
11940,5416
42909,2100
2399,3234
36992,1383
29366,885
37192,1402
44114,2290
25815,764
15486,6741
41685,1924
23872,700
30214,919
11346,5243
20284,628
28483,854
17248,7677
4361,3703
27031,802
41772,1939
19392,9252
22690,666
35550,1235
37879,1548
18578,8637
42026,1969
33567,1076
43083,2131
38055,1571
17708,7991
3396,570
28012,837
9550,4805
10233,4969
12470,5588
39502,1698
14880,6499
20766,10623
41405,1890
15807,6897
30011,911
6004,4092
40716,1819
36756,1356
37136,1400
2636,3285
18896,8868
33256,1061
46443,2644
14637,6399
42467,2039
32624,1027
6116,4111
25510,753
16602,7318
21151,630
39407,1692
35377,1219
38831,1637
43570,2208
3860,3579
4898,3822
12812,5702
9391,4770
16464,7255
29610,896
30504,933
9630,4827
19223,9116
13750,605
4097,3634
35495,1232
4294,573
33711,1082
7323,4347
26809,792
10433,5014
9329,4755
16211,7123
46859,2717
34778,1162
45955,2554
5509,3977
4271,571
40607,1814
39388,1690
38045,1570
40549,1810
22497,659
4210,3669
17397,7780
2912,3349
20237,10062
12033,5450
46881,2720
40482,1801
4644,3763
9541,4801
9424,593
5531,3985
4990,3852
30558,477
1824,3103
22214,648
30305,923
21420,11382
33059,1052
44716,2364
38384,1605
20789,10655
31556,979
5066,3873
11620,5316
40367,526
1491,3018
16819,7457
15066,6566
46855,2716
23767,698
12061,5456
46890,2721
12244,603
15958,612
5068,3874
8455,4583
34762,1160
20239,10064
6499,4189
46274,2608
10727,5088
19156,9051
8539,4592
10886,5138
4424,3717
30383,926
42235,536
18481,8572
37255,1409
7026,4284
28427,852
519,2833
22185,648
13900,6104
40056,526
32777,1039
18003,8216
22591,665
84,2757
21795,11830
35925,504
16348,7181
1963,3131
24523,720
11373,5252
13363,5893
27872,829
1101,2939
34138,1112
22832,668
36558,505
24193,709
32845,1041
2148,561
15699,6828
5401,3957
6021,4098
11568,5310
36008,1268
36214,1294
42168,1990
14898,6504
12196,419
35989,1266
5311,3931
36564,505
11223,5221
15273,6662
7859,4459
6124,4113
37896,1550
5395,3954
3479,3472
31115,958
2067,3160
19997,9802
23087,434
36638,1340
9761,4853
35307,1210
38081,1574
40033,1755
35725,1243
10355,596
19143,9038
9677,4838
36138,1286
8212,4522
37287,1412
778,2870
16419,7227
2846,3330
21285,11182
25208,742
30706,942
20778,10641
31819,485
29270,471
24741,726
14503,6338
6074,577
7385,4363
3487,3473
23840,699
3702,571
703,2859
34261,1117
21561,11491
23428,686
10547,5044
18571,8637
9867,4876
2786,3312
40126,1763
38043,1569
32080,1005
5234,3908
27752,828
19232,9120
30954,951
34193,1114
26750,790
23962,703
11508,5292
24142,707
35873,1259
40161,1768
18770,8770
33801,1087
44256,2311
14500,6337
30769,944
16776,7429
9570,4808
28683,863
5185,3894
39860,1742
42934,2105
12200,419
22685,666
7078,4302
15715,6837
46493,552
6332,4158
12216,420
4701,3780
16901,7486
9987,4914
10365,5000
512,2832
36719,1352
42359,2018
21270,11167
1679,3066
11856,5398
19520,9354
27367,813
1958,3129
9025,4698
19314,9214
26622,789
19983,628
27353,812
15352,6666
20123,9939
6673,579
43717,2238
25922,765
36317,1304
8947,4679
1869,561
25910,765
43703,2234
42009,1966
16265,614
23897,702
11725,5358
9597,4819
9891,4883
36055,1273
5630,4007
449,2822
19404,9259
38356,1601
1112,2941
23664,695
42347,2016
47026,2744
11216,5220
42230,2000
21553,11480
36143,1286
27842,828
13308,5879
25758,761
39959,1750
3623,3516
44789,2374
43088,2133
30485,932
43233,2154
38697,1629
39447,1694
2835,3326
46404,2633
12841,605
16397,7214
42996,2113
39004,1656
35410,1223
31718,984
19801,9604
22970,674
41353,1882
33405,1069
41197,1867
34226,1115
18029,8233
22857,669
22426,658
20522,10346
5249,3914
19607,9457
16980,7539
20268,628
24861,731
4383,3709
43923,2268
34445,1130
38738,1632
203,2782
24342,713
24173,708
29498,891
33009,1050
1631,3053
952,558
16343,7179
31220,962
42318,2012
46462,2648
15067,6566
36412,1316
33637,1080
20375,10171
21690,11678
4087,3632
40540,1809
6632,4212
40218,1777
31750,987
37478,508
22895,671
32977,1046
10654,596
30164,918
30060,912
38584,1621
32112,1007
31378,971
37927,1554
12834,605
18087,8283
5123,3884
36858,506
3123,3387
2955,3360
18047,8254
39421,525
29597,473
24605,722
27674,827
33317,1063
35090,1191
26103,771
37622,1439
32186,1008
22856,669
25191,741
26070,769
42349,2016
24994,734
43715,2237
6427,4172
46845,2712
42437,2033
31921,995
6657,4223
40205,1775
14174,6208
9267,4743
31010,955
34306,1123
38126,1577
31653,984
28647,861
40355,526
44933,2394
18715,8749
44858,2385
5338,3941
43535,2202
41489,1905
18446,625
20213,10038
37333,1417
8393,4565
15314,421
41528,1911
37579,1438
23780,698
27378,814
29048,876
34439,1129
32473,487
40068,526
19024,8962
2601,3276
20511,10338
3645,3520
25749,760
43130,540
1178,2954
586,2843
37280,1412
12319,5537
28557,855
37473,507
1767,3087
34234,1116
39934,1746
17995,8207
2063,3160
12285,5522
36734,1354
2756,566
6092,579
40742,1819
18752,625
21940,641
46115,2585
25440,749
10099,4937
41952,536
46113,2584
42672,2066
27192,806
23334,684
36393,1315
4317,3689
21225,11118
22435,658
30854,946
38633,1624
19836,9647
46761,2699
7925,4467
9992,4914
13119,5807
23822,698
23592,693
14761,6443
12790,5698
6330,4158
39971,1752
37537,1436
4197,3668
777,2870
18860,8840
8583,4604
16799,7441
40973,394
36893,1368
31464,975
12430,5570
43965,2274
15772,6872
534,2835
19980,628
24046,439
40366,526
28613,857
41064,1847
33592,1078
22788,666
27777,828
17098,7600
43255,2159
28284,465
29985,911
25177,740
13556,5967
34941,1179
22176,647
46263,2607
39708,1723
38617,1624
12870,5713
9544,4801
34551,1142
40022,1754
20288,628
39626,1715
39264,1676
39706,1723
40524,1807
38060,1572
11698,5346
41544,1912
43087,2132
15073,6569
2776,3311
12030,5446
11137,5197
16281,7145
38023,1569
14090,6169
43786,2243
18960,8915
27064,802
43833,2251
6184,4125
16758,7418
7007,4283
44899,2389
2569,3267
22861,669
45631,2503
24110,707
37810,518
7814,4452
6134,4116
38101,1576
5988,4088
37284,1412
27194,806
36652,1343
6107,4106
11455,5278
33375,1067
38869,1642
7436,4373
33409,1069
19499,9341
29099,877
19719,9530
24586,720
8279,4540
18407,421
7352,4355
32301,1013
22354,655
15468,6730
27528,818
43592,2211
29821,905
15270,6661
37336,1417
25997,368
4820,3810
1847,561
20150,9972
36356,1310
38789,523
21808,11848
18033,8238
28341,848
23122,678
28652,862
19092,8991
36951,1376
19890,9706
793,2872
11100,5184
15794,6887
32735,1035
13227,5838
13386,5908
27537,819
3089,567
24290,710
16830,7464
39103,524
32965,1046
41214,1871
15253,6653
14706,6416
18069,8268
41606,1917
33066,1052
44945,2395
37393,1425
9460,4783
16198,7114
7465,4381
16560,614
40273,1781
17453,7817
27467,816
5284,3921
44580,2351
6637,4214
29841,906
37422,1429
20634,10453
16729,7406
32632,1028
37142,1400
7414,4370
37217,1404
34057,492
35946,505
23833,698
14048,605
39372,1689
6720,4232
40065,526
42653,2063
19741,9548
29435,889
9116,591
31568,981
21667,11640
40383,1787
2055,3156
36165,1289
25515,753
3883,3584
41725,1931
45041,2401
36453,1322
44924,2394
38713,1629
3223,3415
42589,2052
7135,4313
13904,6108
4574,573
38925,1652
17645,7945
5246,3913
35351,1216
7428,4372
14621,6396
5181,3893
834,2881
8812,4654
11406,5260
29216,880
16435,7235
38405,1607
41970,1961
24279,710
11117,5190
46271,2607
22938,673
13304,5872
16150,7089
8282,4540
18835,8820
46305,2613
25601,756
46258,2606
10671,5068
40712,1819
11542,5301
977,558
24766,727
41755,1935
515,2832
3961,3605
10049,596
31595,982
7500,4386
19234,9123
43092,2134
36845,506
44201,2303
5789,4039
36615,1337
20805,10672
1896,3113
46745,2697
8180,588
29326,882
10546,5044
18700,8736
13548,5962
32724,1033
20090,9901
13108,5805
264,2797
1864,561
46063,2573
12702,5657
11153,5199
3524,3484
4770,3797
3212,3411
43037,2122
1336,2986
17919,8131
36399,1316
23893,702
39490,1698
12412,5559
3276,3428
2701,3301
30429,928
19559,9405
40329,1786
40703,1817
17052,7577
21889,638
25158,740
2658,3293
41878,1952
11003,5160
26482,782
5541,3989
43351,2175
42649,2062
20945,10797
18814,8797
42812,2090
16385,7207
36147,1286
11957,5421
6474,4184
41269,1877
10098,4936
11590,599
3154,3394
44991,2398
37218,1404
24437,717
8915,4673
22878,670
27680,827
5725,4032
8554,4596
28810,867
34896,1174
18606,8656
6121,4113
45422,2467
17155,7639
13265,5860
43421,2188
2030,3149
31194,478
24203,709
14467,6324
3197,3406
40826,1829
18609,8660
678,557
29942,907
40695,1816
29952,907
35939,505
32009,1000
33069,1052
10752,5093
33847,1091
36768,1356
24874,731
9822,4868
27221,808
38230,1584
7852,4459
24601,721
10207,4964
37000,1384
7725,4434
21930,641
860,2890
12237,602
14652,6405
6530,4195
12839,605
34118,1109
46310,2614
33913,1096
37867,1546
32920,1044
27962,463
7702,4427
8336,4557
27057,802
25656,758
31185,478
38406,1607
17941,8151
40183,1772
29776,903
39117,524
42325,2012
19822,9632
39518,1700
45265,545
29377,886
42306,2010
10428,5013
45900,2548
42931,2104
25867,765
20065,9885
5157,575
13992,6140
42515,2045
7449,4375
13628,5997
17479,7835
23791,698
22483,658
32366,1014
15926,6968
28392,851
24277,710
30092,914
9451,4779
35385,1220
43269,2160
45722,2516
30430,928
1740,3082
5676,4020
36623,1338
33560,1076
34587,1147
8020,4485
6251,4138
24613,722
45574,548
26129,772
32075,1004
46831,2708
25896,765
2774,3311
1187,2956
28737,863
15306,421
28988,873
41282,1879
3292,3431
31946,997
37317,1415
22493,658
36115,1282
26476,781
21338,11248
22516,660
44508,2339
14197,6218
37764,513
14087,6169
26430,780
43706,2234
38841,1637
733,2863
11298,5232
37068,1389
18031,8235
26040,767
26249,776
44891,2387
5734,4033
20297,10085
4312,3689
31743,986
41803,1942
2400,3234
17238,7676
44264,2312
34583,1147
26038,452
5638,4008
29285,880
29502,891
14939,6526
27978,833
7396,4366
29905,473
3024,3377
32114,1007
41303,1882
26774,791
32490,487
31240,964
17806,622
36713,1351
31649,983
7987,4478
35486,1231
466,2824
42945,2106
35785,1250
44126,2291
34388,1125
33933,1097
29964,909
31114,958
16881,7477
7975,4478
12789,5698
18309,8464
28892,871
27522,818
13550,5963
17824,8057
3481,3472
41453,1897
41879,1952
28151,842
45455,2475
40951,1843
16394,7211
13455,605
7494,4385
39332,1687
28994,873
18223,8392
37872,1547
6874,4259
3644,3519
44834,2381
17684,7975
1516,3027
8021,4485
14208,6223
12137,5490
33665,1080
8659,4623
1445,3011
26200,775
36673,1343
5327,3936
28412,852
5957,4081
23415,435
45016,2400
34537,1140
32268,1013
15739,6853
5885,4066
24424,716
46900,2723
1809,3097
27700,827
28437,853
41534,1911
8911,4672
23467,687
38705,1629
25745,760
41264,1877
16733,7409
13260,5856
27489,816
40877,1836
19000,8943
38612,1624
43193,2145
4196,3668
3671,3528
14335,6285
44200,2303
1007,2915
8074,4497
4544,3746
11142,5197
14444,6316
46239,2601
19708,9523
18247,8408
12458,5583
10611,5057
3219,3414
4363,3704
22579,664
12641,5641
57,552
38392,1605
14885,6499
9085,414
39451,1694
6975,580
6487,4187
10571,5050
27413,814
17142,7632
22729,363
653,556
5790,4039
7157,4316
5958,4081
27647,827
44148,2294
15166,6611
16158,7092
3753,3544
17671,7964
45315,2445
22053,645
39700,1722
28446,853
12833,605
39820,1734
6892,4265
2581,3270
32299,1013
9047,4704
1370,2997
19537,9376
14077,6167
7024,4284
44533,2344
17952,8164
42408,2028
12858,5708
6263,4140
26483,782
35850,1257
11250,5226
37983,1563
3579,3500
18435,625
32461,384
44058,402
10609,5056
3112,3385
19145,9039
20518,10342
38269,1590
41252,1875
37404,1427
23777,698
36982,1380
25112,737
36063,1274
13360,5891
2791,3314
37685,1446
19722,9532
3397,570
2696,3300
39151,1664
13414,5919
21323,11228
10981,5154
21055,10946
6265,4141
15557,6776
11734,5361
30024,911
46718,2691
27923,833
2965,3360
28287,465
46395,2633
29822,905
12972,5758
45652,2507
21840,633
27005,802
28339,848
11613,5315
37704,1448
20608,10424
21548,11470
13313,5880
1494,3018
41838,1948
25775,762
19880,9700
27141,803
15235,6642
43656,2226
32532,1020
38340,1600
37869,1546
43781,2242
39202,1668
20125,9942
15809,6899
18095,624
24585,720
46680,2683
35838,1255
46302,2613
46466,2648
12782,5695
21272,11168
22595,665
5402,3958
1130,2946
40249,1780
30751,943
2467,564
9346,4760
18157,8319
7288,583
9734,593
44887,2387
12710,5662
37012,1385
4920,3828
46273,2608
14528,6350
38320,1598
47078,2756
13028,5773
27649,827
5987,4088
20738,10580
14406,6296
4350,3699
13124,5809
1888,3111
32209,1009
11604,5312
36374,1312
45709,2515
9296,4749
22937,673
10273,4983
43988,2276
3081,567
38229,1583
35286,502
45952,2553
5882,4065
14429,6303
10488,5028
23403,435
40287,1781
10487,5028
36323,1304
19061,625
26665,453
7342,4354
24979,734
33759,1084
18194,8362
34184,1114
45083,2409
44974,545
7616,4407
8822,4657
36197,1292
19395,9253
44300,2317
4349,3699
10840,5123
6052,410
10634,5067
1710,3075
29955,907
11043,5167
28358,850
9456,4781
22735,367
18027,8233
38416,1607
19919,9740
16291,7150
24022,706
30777,945
36863,506
22350,655
32016,1001
10427,5013
13707,6038
23359,684
19827,9640
44505,2338
30905,948
19194,9085
14409,6299
36318,1304
13769,605
21078,10967
40295,1782
3389,569
40462,1799
12094,5469
16119,7074
38289,1593
4284,572
5644,4011
28853,868
12330,5541
15019,6544
24179,709
2572,3268
18979,8928
1351,2992
7956,4475
45999,2562
24132,707
41297,1881
11188,5211
34457,1131
11636,5322
39729,526
14574,6368
652,556
39982,1752
4877,574
6207,4130
44588,2352
43109,2137
10860,5127
15808,6899
36496,1326
40998,530
46303,2613
22338,654
21513,11428
9234,4735
42966,2108
19449,9295
4260,3678
19842,9659
8037,4489
38775,1636
42808,2089
21897,638
15892,6951
45458,2475
5115,3882
13580,5976
25416,748
16784,7437
18915,8879
37127,1399
19967,627
32062,1003
15116,6589
5585,3997
45423,2468
18373,8529
4516,3740
31352,969
44517,2340
17119,7611
2320,3211
27128,803
20667,10487
42354,2016
26431,780
40139,1764
40413,1790
32452,382
22939,673
30009,911
20440,10270
15258,6653
40854,1833
5620,4004
21396,11347
7287,583
2778,3311
42477,2040
44905,2390
25877,765
3709,3531
40389,1787
32297,1013
31401,972
29574,895
45146,2422
4741,3789
10577,5051
29693,900
7514,4390
44971,545
35312,1211
34565,1143
23868,700
42525,2047
11763,5372
27318,461
552,2839
25055,735
40055,526
45444,2473
43040,2122
17135,7627
696,2858
41770,1939
39978,1752
44211,2306
17661,7955
45859,2546
11850,5396
16243,612
2948,3357
30591,936
2376,3228
21464,631
23559,689
37111,1397
8655,4622
33660,1080
41441,1895
30268,921
36679,1345
5973,4082
13436,5929
13885,6097
43912,2266
34541,1141
9373,4766
36059,1273
16336,7177
13087,5797
37057,1389
45770,2527
5450,576
36089,1279
36821,1363
5178,3892
16362,7192
22319,652
35245,1207
8667,4626
25551,755
8775,589
46639,2676
9632,4828
16006,6998
30066,912
24975,734
42120,1982
42446,2034
26807,792
13336,5885
13311,5880
320,2805
43282,2162
17697,7983
5719,4031
1988,3138
11652,5328
192,2779
20336,10122
18636,8688
26347,452
14850,6480
30746,943
40777,1822
26696,789
30545,477
35116,1192
10368,5000
24178,708
9488,4788
6687,579
45245,2441
10159,4955
22827,668
27965,833
34865,1170
37216,1404
37417,1429
14458,6321
35460,1229
12393,5555
24210,709
42020,1967
26278,776
24313,710
42420,2030
36670,1343
21567,11508
19908,9730
43791,2244
8330,4553
40537,1809
37994,1565
24698,447
34286,1121
38604,1623
8454,4582
20389,10202
41426,1893
27839,828
28378,851
41870,1950
39366,1689
22499,659
6023,4098
36626,1338
22269,650
37130,1399
30789,945
18716,8749
24548,720
46291,2611
15769,6871
7308,4340
29982,911
2727,3307
32525,1020
4816,3808
13787,6058
29349,884
17088,7592
32315,1013
41366,1883
6051,410
1282,2970
35908,1263
21663,11638
9855,4873
41505,1908
42602,2054
17204,7653
14740,6436
9627,4827
32478,487
12361,5546
35404,1221
25246,743
14525,6349
44088,544
41172,1864
11872,5407
21204,11104
45582,549
44741,2367
10725,5087
22601,665
10203,4964
11397,5258
27391,814
6138,4116
34889,1173
7309,4340
12786,5697
19204,9094
7871,586
34029,1105
27525,818
15228,6638
38722,1631
26332,776
38542,1615
3368,3453
1386,3001
35640,1238
24102,707
8012,4483
23436,686
16914,7495
33765,1084
46389,2632
11141,5197
23934,702
6800,4242
17927,8135
16241,612
45793,2530
38394,1606
23438,686
41830,1947
35369,1218
18906,8870
30311,923
42007,1966
4253,3676
10379,5002
24991,734
22694,666
1225,2964
27970,833
6068,577
1205,2961
21136,11045
38222,1583
4357,3701
31715,984
37006,1385
2513,3253
22806,667
22233,648
7930,4468
4034,3618
31377,971
7368,4357
14597,6380
36889,1367
130,2767
11408,5260
11511,5292
15145,6604
42334,2013
13675,6022
27549,820
36676,1343
14643,6401
28620,858
28327,847
29858,906
45140,2421
26354,452
25748,760
46699,2688
34252,1116
46950,2730
9205,4725
24661,723
23180,680
19453,9297
21748,633
14001,6146
41670,1922
13521,5947
34172,1114
40510,1806
35835,1255
10473,5026
40803,1826
34732,1155
20870,629
42145,1986
37108,1397
26519,786
33734,491
44660,2361
21730,11760
30032,911
17474,7828
2787,3312
45964,2557
8394,4565
1377,2999
43959,2273
45567,548
45028,2400
35669,1240
766,2868
24533,720
27490,816
43138,540
6250,4138
11932,5412
30555,477
4009,3612
4498,3734
2988,3367
13911,6108
23015,675
2321,3211
9800,4861
1038,2922
39393,1691
22574,663
27293,811
6812,4244
32782,1040
22626,665
6219,4133
35478,1230
8183,589
14457,6321
41257,1875
32146,486
41192,1867
1027,2920
40828,1829
26276,776
3430,3461
11318,5237
9230,4735
38598,1622
34423,1129
13745,605
11686,5342
30452,930
30291,921
21312,11214
4342,3696
2304,3208
45055,2403
27953,462
36477,1323
6392,4163
45044,2401
1653,3059
40039,1755
35390,1220
18762,625
14871,6494
34576,1145
5967,4082
38754,1634
32879,1042
40783,1822
12487,5595
16679,7370
27213,807
25667,449
9602,4821
24738,726
36563,505
15856,6928
45595,2496
11388,5257
13423,5922
581,2841
2468,565
7311,4341
5187,3895
39344,1688
4409,3713
25310,744
45236,2440
8665,4626
16576,7294
7327,4348
31610,982
25992,367
39162,1665
28543,855
22379,658
16105,7066
45499,2482
12011,5443
18250,8411
31157,960
17220,7665
1632,3053
2602,3276
34166,1114
23975,704
44172,2298
1517,3030
24251,709
24063,442
32694,1033
46457,2647
25182,741
25884,765
26037,452
46092,2580
6836,4252
44522,2340
19854,9674
9102,418
34810,1166
41530,1911
43280,2161
12670,5648
17279,7701
31007,954
25396,746
33519,1074
25388,746
42054,1974
43837,2252
9715,4849
20179,10009
43178,2143
25240,743
31006,954
12536,603
13391,5912
11126,5192
13126,5812
20061,9881
37665,1443
9943,4899
34790,1163
42492,2041
260,2796
36735,1354
43332,2170
28951,872
25851,765
12299,5530
3651,3521
37941,1556
42343,2016
40421,1791
1173,2954
23184,680
18610,8662
38115,1577
44371,2325
7661,4416
8638,4620
43635,2220
35611,504
27346,812
3299,3435
43984,2276
21175,631
6587,4202
11416,5262
35881,1261
8047,4492
3161,3398
32420,1017
41331,530
6548,4198
5968,4082
33102,489
2536,3261
42638,2060
28434,853
24166,708
41695,1926
20321,10104
30707,942
6295,4152
5682,4022
27073,802
300,2803
1639,3055
33454,1069
18128,8294
28567,855
19383,9243
9008,4693
43464,2192
39175,1666
27261,810
17172,619
18175,8341
17994,8205
44318,2318
8595,4609
20056,9876
40203,1775
4939,3833
40686,1815
34380,1125
36442,1320
34194,1114
24820,730
9452,4780
42491,2041
36505,1327
46217,2596
31296,967
2777,3311
5635,4008
43680,2230
30794,945
7741,4435
43112,2137
10324,4997
47030,2745
11146,5197
34714,1154
46634,2674
19738,9547
37846,394
23968,704
16635,7345
35038,1185
46191,552
24363,714
37345,1419
7764,4441
10155,4953
45804,2534
25791,764
32399,1016
24064,442
37196,1402
43657,2226
10227,4969
24747,726
6560,4200
16918,7500
8163,586
5563,3991
12293,5526
18238,8401
44965,544
4503,3736
2754,566
46451,2646
41301,1881
10062,4924
7337,4352
46276,2608
46847,2712
425,2819
11124,5192
9408,4773
19869,9693
1551,561
27828,828
29218,880
30025,911
10668,596
41162,1861
45862,2546
28221,844
22886,670
7111,4309
12840,605
15,351
18853,8831
20544,10367
29152,878
43716,2237
19640,9483
37894,1550
9935,4899
38804,523
21883,638
31221,962
21880,638
46350,2622
21728,11756
32053,1002
914,2901
17454,7819
19206,9095
1026,2920
27171,805
38333,1600
17388,7774
658,556
20100,9909
16363,7192
27282,810
29986,911
10107,4939
32066,1003
9308,4751
37887,1549
26891,798
27997,835
3679,571
7400,4368
12815,5702
40334,1786
10683,5073
1390,3001
41863,1949
26549,787
25613,756
43930,2268
27348,812
32851,1041
8892,4670
41827,1946
39607,1715
27399,814
2744,565
32153,1007
16788,7438
22932,672
40571,1813
33565,1076
35865,1259
20434,10256
8800,590
46982,2737
13042,5778
14089,6169
22323,653
32578,1024
9146,4712
19760,9565
10648,596
381,2812
12447,5578
29523,893
13166,605
7054,4295
7979,4478
29602,473
15299,421
32336,1013
1185,2956
39461,1695
37549,1436
33830,1089
33725,491
43554,2206
22716,360
46091,2579
34867,1170
1526,3033
40979,394
22810,667
33242,1061
14129,6183
46903,2723
2431,3243
33240,1061
21611,11560
1948,3127
9239,4737
12417,5561
10439,5016
45291,2442
25520,754
41824,1945
8746,4642
22101,645
19553,9397
1307,2976
38193,1580
3553,3494
7676,4420
43555,2206
41043,1845
46408,2633
8268,4538
11409,5260
13292,5866
29758,901
41661,1920
3037,3380
22032,645
41423,1892
19871,9694
41633,532
37550,1436
33643,1080
28645,860
9090,416
38916,1650
26148,773
4729,3787
6227,4134
14119,6181
18009,8219
34919,1176
30426,928
14799,6459
36700,1349
31040,956
33635,1080
35933,505
2653,3291
1836,3105
36037,1271
18314,8469
9770,4853
42983,2111
23231,681
32596,1024
12634,5638
16822,7459
14378,608
17402,7785
537,2836
9013,4693
25446,749
2371,3226
41876,1952
24052,440
30186,918
41249,1875
21015,10891
23418,436
41765,1939
30194,919
37224,1406
44286,2314
35310,1211
46090,2579
23556,689
44548,2346
31267,965
4398,3710
33207,1058
12283,5521
3403,3454
39128,1662
34206,1115
1252,559
38169,521
34227,1115
36528,1331
24879,732
30551,477
5281,3921
9503,4791
44336,2319
28814,867
34644,1153
4239,3673
23442,686
40970,394
39414,525
17475,7832
32179,1008
10864,5128
42218,1998
14691,608
6149,4118
28011,837
36705,1350
17344,7742
14445,6316
26025,450
11349,5245
17880,8098
33805,1088
1788,3091
21837,633
17084,7589
22797,666
25642,757
3505,3478
40966,1845
42624,2058
9596,4819
5285,3921
23950,703
18195,8362
13646,6006
27164,805
7210,4325
9641,4830
29629,898
44312,2318
17553,7864
27308,459
38622,1624
38481,522
7200,4324
5866,4062
14725,6424
10912,5143
43411,2184
2014,3145
9777,4855
36394,1315
41235,1874
31807,990
21279,11177
2123,3172
19730,9540
37416,1429
38840,1637
33780,1087
16586,7305
31693,984
36779,1358
20535,10356
18421,421
32228,1010
42968,2109
1054,2926
21265,11162
1278,2969
34737,1155
44097,2287
37574,1438
270,2797
34385,1125
2211,3187
32395,1016
35756,1245
45630,2502
22640,666
42530,2048
26026,450
24114,707
30871,477
29733,900
5351,3945
21613,11562
34826,1168
6531,4195
41495,1906
2151,561
23321,684
33901,1095
18528,8602
29343,883
27741,828
18807,8794
44998,2398
19567,9411
6284,4149
42786,2085
6320,4155
46764,2699
11265,5231
20274,628
29807,904
43842,2254
611,2847
39714,1723
31269,965
26803,792
9902,4885
5332,3936
39650,1719
13011,5766
12522,5602
28426,852
32789,489
46785,552
30904,948
32182,1008
11877,5408
30990,954
46308,2614
11335,5242
38341,1600
44652,2360
17180,620
14343,6288
32484,487
10016,4919
32423,1017
41319,530
13009,5766
4996,3853
35171,1197
10328,596
8874,4666
24748,726
13474,5930
24528,720
16311,7161
2045,3154
24006,705
3731,3537
25265,743
45102,2415
31990,1000
10471,5024
27742,828
12906,5726
35372,1219
33452,1069
28167,844
1149,2949
11853,5396
11055,5172
24037,706
46952,2730
14440,6313
39853,1741
225,2789
32120,1007
17769,8036
35496,1232
18289,8444
36601,1334
7878,586
35627,504
4286,573
33923,1097
33181,1056
24602,721
3382,568
26160,773
1689,3070
36846,506
25355,449
42512,2043
37437,1431
28465,854
32269,1013
3803,3561
25883,765
33627,1079
22138,645
35017,1181
36664,1343
30861,947
32628,1028
1618,3050
15917,6963
19981,628
10630,5065
4208,3669
33764,1084
27421,814
4519,3740
8486,589
22759,432
34581,1146
8181,588
7458,4377
21665,11640
18345,8504
38087,1574
38696,1629
4373,3705
